layer,name,direction,path,parser,encoder,runtime,tests,golden_vector,runtime_references,test_references,blockers,relevance,phase
MLE,DRestoreFail,Downlink,crates/tetra-pdus/src/mle/pdus/d_restore_fail.rs,vorhanden,vorhanden,ohne offensichtlichen Blocker,vorhanden,vorhanden,13,4,,"Multi-Site, Zellwechsel",Phase 3 – MLE/Zellwechsel
MLE,UChannelClassAdvice,Uplink,crates/tetra-pdus/src/mle/pdus/u_channel_class_advice.rs,teilweise,teilweise,blockiert,fehlt,nicht nachgewiesen,6,0,FIXME;TODO;unimplemented!,"Multi-Site, Zellwechsel",Phase 3 – MLE/Zellwechsel
MLE,UChannelRequest,Uplink,crates/tetra-pdus/src/mle/pdus/u_channel_request.rs,vorhanden,vorhanden,ohne offensichtlichen Blocker,vorhanden,vorhanden,17,7,,"Multi-Site, Zellwechsel",Phase 3 – MLE/Zellwechsel
MLE,UPrepare,Uplink,crates/tetra-pdus/src/mle/pdus/u_prepare.rs,vorhanden,vorhanden,ohne offensichtlichen Blocker,vorhanden,vorhanden,20,10,,"Multi-Site, Zellwechsel",Phase 3 – MLE/Zellwechsel
MLE,URestore,Uplink,crates/tetra-pdus/src/mle/pdus/u_restore.rs,vorhanden,vorhanden,ohne offensichtlichen Blocker,vorhanden,vorhanden,23,13,,"Multi-Site, Zellwechsel",Phase 3 – MLE/Zellwechsel
MM,DAttachDetachGroupIdentity,Downlink,crates/tetra-pdus/src/mm/pdus/d_attach_detach_group_identity.rs,vorhanden,vorhanden,offene Hinweise,vorhanden,vorhanden,13,3,FIXME;TODO,"Single-/Multi-Site, Mobility",Phase 4 – Mobility Management
MM,DAttachDetachGroupIdentityAcknowledgement,Downlink,crates/tetra-pdus/src/mm/pdus/d_attach_detach_group_identity_acknowledgement.rs,vorhanden,vorhanden,offene Hinweise,vorhanden,vorhanden,13,1,FIXME;TODO,"Single-/Multi-Site, Mobility",Phase 4 – Mobility Management
MM,DLocationUpdateAccept,Downlink,crates/tetra-pdus/src/mm/pdus/d_location_update_accept.rs,vorhanden,vorhanden,offene Hinweise,vorhanden,vorhanden,14,4,FIXME;TODO,"Single-/Multi-Site, Mobility",Phase 4 – Mobility Management
MM,DLocationUpdateCommand,Downlink,crates/tetra-pdus/src/mm/pdus/d_location_update_command.rs,teilweise,vorhanden,blockiert,vorhanden,vorhanden,11,1,FIXME;TODO;unimplemented!,"Single-/Multi-Site, Mobility",Phase 4 – Mobility Management
MM,DLocationUpdateProceeding,Downlink,crates/tetra-pdus/src/mm/pdus/d_location_update_proceeding.rs,vorhanden,vorhanden,ohne offensichtlichen Blocker,vorhanden,vorhanden,15,6,,"Single-/Multi-Site, Mobility",Phase 4 – Mobility Management
MM,DLocationUpdateReject,Downlink,crates/tetra-pdus/src/mm/pdus/d_location_update_reject.rs,vorhanden,vorhanden,ohne offensichtlichen Blocker,vorhanden,vorhanden,15,3,,"Single-/Multi-Site, Mobility",Phase 4 – Mobility Management
MM,DMmStatus,Downlink,crates/tetra-pdus/src/mm/pdus/d_mm_status.rs,teilweise,teilweise,blockiert,vorhanden,vorhanden,11,2,unimplemented!,"Single-/Multi-Site, Mobility",Phase 4 – Mobility Management
MM,MmPduFunctionNotSupported,nicht klassifiziert,crates/tetra-pdus/src/mm/pdus/mm_pdu_function_not_supported.rs,teilweise,teilweise,blockiert,fehlt,nicht nachgewiesen,16,0,FIXME;TODO;unimplemented!,"Single-/Multi-Site, Mobility",Phase 4 – Mobility Management
MM,UAttachDetachGroupIdentity,Uplink,crates/tetra-pdus/src/mm/pdus/u_attach_detach_group_identity.rs,vorhanden,vorhanden,offene Hinweise,fehlt,nicht nachgewiesen,12,0,FIXME;TODO,"Single-/Multi-Site, Mobility",Phase 4 – Mobility Management
MM,UAttachDetachGroupIdentityAcknowledgement,Uplink,crates/tetra-pdus/src/mm/pdus/u_attach_detach_group_identity_acknowledgement.rs,vorhanden,vorhanden,offene Hinweise,fehlt,nicht nachgewiesen,7,0,FIXME;TODO,"Single-/Multi-Site, Mobility",Phase 4 – Mobility Management
MM,UItsiDetach,Uplink,crates/tetra-pdus/src/mm/pdus/u_itsi_detach.rs,vorhanden,vorhanden,offene Hinweise,fehlt,nicht nachgewiesen,12,0,FIXME;TODO,"Single-/Multi-Site, Mobility",Phase 4 – Mobility Management
MM,ULocationUpdateDemand,Uplink,crates/tetra-pdus/src/mm/pdus/u_location_update_demand.rs,vorhanden,vorhanden,offene Hinweise,vorhanden,vorhanden,25,9,FIXME;TODO,"Single-/Multi-Site, Mobility",Phase 4 – Mobility Management
MM,UMmStatus,Uplink,crates/tetra-pdus/src/mm/pdus/u_mm_status.rs,vorhanden,vorhanden,offene Hinweise,fehlt,nicht nachgewiesen,14,0,FIXME;TODO,"Single-/Multi-Site, Mobility",Phase 4 – Mobility Management
MM,UTeiProvide,Uplink,crates/tetra-pdus/src/mm/pdus/u_tei_provide.rs,vorhanden,vorhanden,ohne offensichtlichen Blocker,fehlt,nicht nachgewiesen,9,0,,"Single-/Multi-Site, Mobility",Phase 4 – Mobility Management
UMAC,AccessField,MAC/abhängig,crates/tetra-pdus/src/umac/pdus/access_assign.rs,teilweise,vorhanden,blockiert,fehlt,nicht nachgewiesen,18,0,FIXME;TODO;panic!,"Single-Site, Funkzugang",Phase 0 – Protokollfundament
UMAC,AccessAssignFr18,MAC/abhängig,crates/tetra-pdus/src/umac/pdus/access_assign_fr18.rs,teilweise,teilweise,blockiert,fehlt,nicht nachgewiesen,5,0,FIXME;TODO;panic!;unimplemented!,"Single-Site, Funkzugang",Phase 0 – Protokollfundament
UMAC,AccessDefine,MAC/abhängig,crates/tetra-pdus/src/umac/pdus/access_define.rs,teilweise,teilweise,offene Hinweise,fehlt,nicht nachgewiesen,8,0,TODO,"Single-Site, Funkzugang",Phase 0 – Protokollfundament
